code_r;desig_r;dif;jour;month;mois;annee;num_man;code_p;design_p;poste;type_nav;nom_nav;sejour;num_gros;pavilion
506;CAP SIGLI;01:20:01;19;7;Juillet;2013;1965;1;ENTREE;POSTE 03;PETROLIER;NAVE EQUINOX;1;20130950;ILES MARSHALL
507;CAP BOUAK 2;01:20:01;19;7;Juillet;2013;1965;1;ENTREE;POSTE 03;PETROLIER;NAVE EQUINOX;1;20130950;ILES MARSHALL
505;CAP CARBON;00:25:12;19;7;Juillet;2013;1966;2;SORTIE;POSTE 01;NAVIRE CARBURANT;MINITANK SIX;4;20130931;MALTE
506;CAP SIGLI;00:25:12;19;7;Juillet;2013;1966;2;SORTIE;POSTE 01;NAVIRE CARBURANT;MINITANK SIX;4;20130931;MALTE
505;CAP CARBON;00:35:01;19;7;Juillet;2013;1967;2;SORTIE;POSTE 26;GAZIER;BAROUDA;2;20130912;ALGERIE
506;CAP SIGLI;00:35:01;19;7;Juillet;2013;1967;2;SORTIE;POSTE 26;GAZIER;BAROUDA;2;20130912;ALGERIE
505;CAP CARBON;00:29:53;19;7;Juillet;2013;1968;1;ENTREE;POSTE 01;NAVIRE CARBURANT;FS DIANE;5;20130947;FRANCE
506;CAP SIGLI;00:29:53;19;7;Juillet;2013;1968;1;ENTREE;POSTE 01;NAVIRE CARBURANT;FS DIANE;5;20130947;FRANCE
505;CAP CARBON;00:55:00;19;7;Juillet;2013;1969;1;ENTREE;POSTE 14;CARGO;GORA;13;20130910;LIBERIA
506;CAP SIGLI;00:55:00;19;7;Juillet;2013;1969;1;ENTREE;POSTE 14;CARGO;GORA;13;20130910;LIBERIA
507;CAP BOUAK 2;00:55:00;19;7;Juillet;2013;1969;1;ENTREE;POSTE 14;CARGO;GORA;13;20130910;LIBERIA
505;CAP CARBON;00:25:00;19;7;Juillet;2013;1970;1;ENTREE;POSTE 09;RO/RO;TEBESSA;1;20130936;ALGERIE
506;CAP SIGLI;00:25:00;19;7;Juillet;2013;1970;1;ENTREE;POSTE 09;RO/RO;TEBESSA;1;20130936;ALGERIE
507;CAP BOUAK 2;00:25:00;19;7;Juillet;2013;1970;1;ENTREE;POSTE 09;RO/RO;TEBESSA;1;20130936;ALGERIE
505;CAP CARBON;01:00:00;19;7;Juillet;2013;1971;2;SORTIE;POSTE 16;CEREALIER;BIANCA OLIVIA BULKER;9;20130896;MALTE
506;CAP SIGLI;01:00:00;19;7;Juillet;2013;1971;2;SORTIE;POSTE 16;CEREALIER;BIANCA OLIVIA BULKER;9;20130896;MALTE
507;CAP BOUAK 2;01:00:00;19;7;Juillet;2013;1971;2;SORTIE;POSTE 16;CEREALIER;BIANCA OLIVIA BULKER;9;20130896;MALTE
507;CAP BOUAK 2;00:45:19;20;7;Juillet;2013;1972;2;SORTIE;POSTE 19;CARGO;FILIBOZ;4;20130905;PANAMA
505;CAP CARBON;01:05:07;20;7;Juillet;2013;1973;11;MOUVEMENT;POSTE 21;CEREALIER;SEA MELODY;10;20130918;PANAMA
506;CAP SIGLI;01:05:07;20;7;Juillet;2013;1973;11;MOUVEMENT;POSTE 21;CEREALIER;SEA MELODY;10;20130918;PANAMA
507;CAP BOUAK 2;01:05:07;20;7;Juillet;2013;1973;11;MOUVEMENT;POSTE 21;CEREALIER;SEA MELODY;10;20130918;PANAMA
505;CAP CARBON;01:10:00;20;7;Juillet;2013;1974;1;ENTREE;POSTE 21;CEREALIER;ULTRA GUJARAT;7;20130922;PANAMA
506;CAP SIGLI;01:10:00;20;7;Juillet;2013;1974;1;ENTREE;POSTE 21;CEREALIER;ULTRA GUJARAT;7;20130922;PANAMA
507;CAP BOUAK 2;01:10:00;20;7;Juillet;2013;1974;1;ENTREE;POSTE 21;CEREALIER;ULTRA GUJARAT;7;20130922;PANAMA
507;CAP BOUAK 2;00:45:20;20;7;Juillet;2013;1975;12;MANOEUVRE DIFFERER;POSTE 09;RO/RO;CAP CAMARAT;3;20130951;PANAMA
507;CAP BOUAK 2;00:45:20;20;7;Juillet;2013;1976;8;LOCATION;POSTE 09;RO/RO;CAP CAMARAT;3;20130951;PANAMA
505;CAP CARBON;01:00:07;20;7;Juillet;2013;1977;2;SORTIE;POSTE 24;CARGO;GLARUS;4;20130902;CHYPRE
506;CAP SIGLI;01:00:07;20;7;Juillet;2013;1977;2;SORTIE;POSTE 24;CARGO;GLARUS;4;20130902;CHYPRE
507;CAP BOUAK 2;01:00:07;20;7;Juillet;2013;1977;2;SORTIE;POSTE 24;CARGO;GLARUS;4;20130902;CHYPRE
505;CAP CARBON;00:39:40;20;7;Juillet;2013;1978;1;ENTREE;POSTE 24;CARGO;MISTRAL;1;20130932;TURQUIE
506;CAP SIGLI;00:39:40;20;7;Juillet;2013;1978;1;ENTREE;POSTE 24;CARGO;MISTRAL;1;20130932;TURQUIE
507;CAP BOUAK 2;00:45:00;20;7;Juillet;2013;1979;2;SORTIE;POSTE 22;CARGO;AKVILE;1;20130949;LITUANIE
505;CAP CARBON;00:50:00;20;7;Juillet;2013;1980;1;ENTREE;POSTE 22;PORTE CONTENEURS;FIONA;4;20130803;GIBRALTAR
506;CAP SIGLI;00:50:00;20;7;Juillet;2013;1980;1;ENTREE;POSTE 22;PORTE CONTENEURS;FIONA;4;20130803;GIBRALTAR
507;CAP BOUAK 2;00:50:00;20;7;Juillet;2013;1980;1;ENTREE;POSTE 22;PORTE CONTENEURS;FIONA;4;20130803;GIBRALTAR
505;CAP CARBON;00:35:00;20;7;Juillet;2013;1981;2;SORTIE;POSTE 09;RO/RO;TEBESSA;1;20130936;ALGERIE
506;CAP SIGLI;00:35:00;20;7;Juillet;2013;1981;2;SORTIE;POSTE 09;RO/RO;TEBESSA;1;20130936;ALGERIE
507;CAP BOUAK 2;00:35:00;20;7;Juillet;2013;1981;2;SORTIE;POSTE 09;RO/RO;TEBESSA;1;20130936;ALGERIE
505;CAP CARBON;00:30:00;20;7;Juillet;2013;1982;1;ENTREE;POSTE 09;RO/RO;HANSALAND;3;20130948;BAHAMAS
506;CAP SIGLI;00:30:00;20;7;Juillet;2013;1982;1;ENTREE;POSTE 09;RO/RO;HANSALAND;3;20130948;BAHAMAS
505;CAP CARBON;00:35:00;20;7;Juillet;2013;1983;2;SORTIE;POSTE 19;NAVIRE CARBURANT;NORTH SEA ALPHA;1;20130943;MALTE
506;CAP SIGLI;00:35:00;20;7;Juillet;2013;1983;2;SORTIE;POSTE 19;NAVIRE CARBURANT;NORTH SEA ALPHA;1;20130943;MALTE
